Provincia	Código INE	Nombre del Municipio	Nº de conatos	Nº de incendios	Total conatos + incendios	Superficie arbolada (ha)	Superficie desarbola (ha)	Superficie forestal total (ha)	Superficie total del Municipio 	
	03112	Relleu	6	9	15	11.67	15.09	26.76	7,691.24	
	03113	Rojales	2	0	2	0.54	1.6	2.14	2,756.08	
	03114	La Romana	5	0	5	0.12	0.81	0.93	4,329.45	
	03115	Sagra	0	2	2	6.55	6.45	13	562.38	
	03116	Salinas	2	0	2	0	0.03	0.03	6,171.28	
	03117	Sanet y Negrals	1	0	1	0	0.3	0.3	394.51	
	03118	San Fulgencio	2	3	5	2.71	0.52	3.23	1,974.87	
	03119	Sant Joan d'Alacant	0	0	0	0	0	0	958.01	
	03120	San Miguel de Salinas	3	7	10	4.14	0.07	4.21	5,485.08	
	03121	Santa Pola	7	37	44	3.29	72.2	75.49	5,831.87	
	03122	San Vicente del Raspeig/Sant Vicent del Raspeig	1	0	1	0	0.27	0.27	4,056.42	
	03123	Sax	1	4	5	0.1	1.03	1.13	6,349.01	
	03124	Sella	3	6	9	1.63	0.18	1.81	3,874.43	
	03125	Senija	1	0	1	0.15	0	0.15	479.09	
	03127	Tàrbena	2	7	9	2.6	11.05	13.65	3,169.50	
	03128	Teulada	2	10	12	0.47	6.17	6.64	3,244.49	
	03129	Tibi	3	10	13	2.75	0.67	3.42	7,040.29	
	03130	Tollos	2	4	6	0.76	0.93	1.69	1,598.39	
	03131	Tormos	0	2	2	1	0.01	1.01	535.82	
	03132	Torremanzanas/La Torre de les Maçanes	1	17	18	373.15	55.09	428.24	3,649.62	
	03133	Torrevieja	9	42	51	1.11	36.37	37.48	7,157.00	
	03134	La Vall d'Alcalà	0	8	8	50.7	102.61	153.31	2,286.41	
	03135	La Vall d'Ebo	1	10	11	1.4	40.95	42.35	3,244.81	
	03136	Vall de Gallinera	6	40	46	54.51	854.78	909.29	5,366.74	
	03137	La Vall de Laguar	0	6	6	0.12	4.83	4.95	2,307.15	
	03138	El Verger	0	3	3	0.35	3.7	4.05	816.62	
	03139	Villajoyosa/La Vila Joiosa	6	13	19	2.11	2.15	4.26	5,898.31	
	03140	Villena	6	11	17	2.3	3.97	6.27	34,536.51	
	03901	Els Poblets	0	0	0	0	0	0	361.65	
	03902	Pilar de la Horadada	5	1	6	3.21	0.46	3.67	7,792.17	
	03903	Los Montesinos	2	0	2	0.03	0.15	0.18	1,505.37	
	03904	San Isidro	2	0	2	0	0.13	0.13	1,169.98	
Total Alicante									582,112.37	
Almeria	04001	Abla	2	6	8	8.19	21.23	29.42	4,520.87	
	04002	Abrucena	2	10	12	1.27	0.64	1.91	8,361.08	
	04003	Adra	23	50	73	0	427.51	427.51	8,975.84	
	04004	Albánchez	1	3	4	0	8.84	8.84	3,511.05	
	04005	Alboloduy	1	6	7	0.8	45.79	46.59	6,968.07	
	04006	Albox	1	10	11	0	33.57	33.57	16,830.66	
	04007	Alcolea	3	16	19	2.71	11.46	14.17	6,746.05	
	04008	Alcóntar	0	11	11	21.74	25.31	47.05	9,383.34	
	04009	Alcudia de Monteagud	0	0	0	0	0	0	1,568.26	
	04010	Alhabia	4	1	5	0	1.99	1.99	1,638.20	
	04011	Alhama de Almería	3	7	10	0	3261.3	3261.3	2,622.33	
	04012	Alicén	1	0	1	0	0	0	586.82	
	04013	Almería	10	34	44	0	417.32	417.32	29,569.72	
	04014	Almócita	3	0	3	0	1.14	1.14	3,080.08	
	04015	Alsodux	0	0	0	0	0	0	2,008.69	
	04016	Antas	3	10	13	0	24.93	24.93	9,908.41	
	04017	Arboleas	2	12	14	0	37.1	37.1	6,600.97	
	04018	Armuña de Almanzora	2	0	2	0	0.6	0.6	794.34	
	04019	Bacares	0	8	8	34.82	105.29	140.11	9,485.19	
	04020	Bayárcal	3	0	3	0.05	0.2	0.25	3,799.21	
	04021	Bayarque	1	7	8	14.33	32.25	46.58	2,634.93	
	04022	Bédar	1	10	11	4.73	315.69	320.42	4,669.30	
	04023	Beires	0	4	4	0	51.88	51.88	3,880.41	
	04024	Benahadux	0	6	6	0	79.19	79.19	1,660.34	
	04026	Benitagla	0	0	0	0	0	0	646.01	
	04027	Benizalón	5	4	9	0	75.04	75.04	3,194.93	
	04028	Bentarique	2	0	2	0	0.33	0.33	1,133.49	
	04029	Berja	17	47	64	10.03	363.39	373.42	21,726.94	
	04030	Canjáyar	3	16	19	0.25	397.69	397.94	6,687.40	
	04031	Cantoria	3	13	16	2.3	31.62	33.92	7,896.79	
	04032	Carboneras	6	19	25	0	156.45	156.45	9,560.59	
	04033	Castro de Filabres	0	6	6	0.24	56.01	56.25	2,921.43	
	04034	Càbdar	1	0	1	0	0.16	0.16	3,176.21	
	04035	Cuevas del Almanzora	10	17	27	77.07	168.38	245.45	26,443.41	
	04036	Chercos	5	2	7	0	4.53	4.53	1,335.49	
	04037	Chirivel	6	0	6	0.01	1.58	1.59	19,641.93	
	04038	Dalías	3	19	22	27.07	59.12	86.19	14,132.12	
	04041	Enix	2	16	18	3.04	1609.76	1612.8	6,677.63	
	04043	Felix	5	11	16	1.86	12.91	14.77	8,119.82	
	04044	Fines	0	5	5	0	58.33	58.33	2,306.12	
	04045	Fiñana	0	6	6	28.73	18.47	47.2	13,385.31	
	04046	Fondàn	4	15	19	4.67	28.04	32.71	9,108.82	
	04047	Gádor	3	3	6	0	559.96	559.96	8,760.33	
	04048	Los Gallardos	0	3	3	0	10.28	10.28	3,490.74	
	04049	Garrucha	2	0	2	0.03	0.22	0.25	774.96	
	04050	Gérgal	2	13	15	0	7.35	7.35	22,931.32	
	04051	Huécija	0	4	4	0	5.83	5.83	1,900.37	
	04052	Huércal de Almería	3	0	3	0.04	60.37	60.41	2,091.11	
	04053	Huércal-Overa	2	13	15	1.43	216.77	218.2	31,750.88	
	04054	Illar	1	8	9	0	8.36	8.36	1,917.33	
	04055	Instinciàn	3	4	7	0	7.34	7.34	3,345.88	
	04056	Laroya	1	1	2	0	1.76	1.76	2,164.56	
	04057	Láujar de Andarax	0	9	9	16.21	2.24	18.45	9,273.54	
	04058	Líjar	0	5	5	0	6.31	6.31	2,811.20	
	04059	Lubrín	3	11	14	0	86.5	86.5	13,804.20	
	04060	Lucainena de las Torres	3	20	23	0	1626.28	1626.28	12,312.22	
	04061	Lécar	1	4	5	0.02	8.52	8.54	10,033.31	
	04062	Macael	1	11	12	1.71	71.38	73.09	4,372.89	
	04063	María	4	0	4	0.03	0.06	0.09	22,546.76	
	04064	Mojácar	3	10	13	0	121.85	121.85	7,144.00	
	04065	Nacimiento	3	11	14	0	91.92	91.92	8,069.53	
	04066	Níjar	28	81	109	0	1652.95	1652.95	59,948.42	
